id,request,attack_type,timestamp,attacker_ip
155,select * from users where id=1 or 1=1,SQL,2026-03-09 11:08:27,
156,select * from users where id=1 or 1=1,SQL,2026-03-09 11:13:32,
157,https://chatgpt.com/g/g-p-69abea56b858819196cd0ce5cdb5e425-threatshield/c/69ac5f9c-411c-8324-93f2-63a9f7895762,LEGAL,2026-03-09 11:14:18,
158,select * from users where id=1 or 1=1,SQL,2026-03-09 11:19:16,
159,www.meesho.com,LEGAL,2026-03-09 11:31:20,
160,www.google.com,LEGAL,2026-03-09 11:35:07,
161,https://chatgpt.com/g/g-p-69abea56b858819196cd0ce5cdb5e425-threatshield/c/69ac5f9c-411c-8324-93f2-63a9f7895762,LEGAL,2026-03-09 11:38:38,
